RelativePath                                                      AOM Annotation
\Windows\PropertiesWindow.cs                                      [P] Inspector/Mediator. {D} CustomEditorPresenter, SceneEditing. (F) OnSelectionChanged -> SelectObjects. [S] ActorScrollCache, LockedFlag.
\Windows\ContentWindow.cs                                         [P] Project-Navigator/Outward-View. {D} ContentDatabase, ContentView, Tree. (F) OnInit -> Navigate -> RefreshView. [S] NavigationHistory, SearchQuery.
\Windows\ContentWindow.ContextMenu.cs                             [P] Factory/Menu. {D} ContentProxy, ContentImporting. (F) ShowContextMenuForItem.
\Windows\ContentWindow.Navigation.cs                              [P] Command-Iterator/History. {D} Tree. (F) NavigateBackward/Forward -> DoNavigate. [S] NavigationUndo/Redo Stacks.
\Windows\ContentWindow.Search.cs                                  [P] Query-Filter/Provider. {D} QueryFilterHelper, ContentView. (F) UpdateItemsSearch -> FilterResults.
\Content\GUI\ContentView.cs                                       [P] Grid/List Controller {D} ContentItem, InputActions (F) ShowItems -> BulkSelect -> DragDrop [S] Volatile UI
\Content\GUI\ContentNavigation.cs                                 [P] Navigation Command {D} ContentFolderTreeNode (F) OnClick -> Navigate [S] Volatile
\Content\Tree\TreeViewPanel.cs                                    [P] Panel Controller {D} Tree, InputActions (F) Rename -> Delete -> Copy -> Paste [S] Volatile UI
\Content\Tree\RootContentTreeNode.cs                              [P] Tree Root [S] Static
\Content\Tree\MainContentTreeNode.cs                              [P] Specialized Node {D} FileSystemWatcher (F) OnDirectoryEvent -> ContentDatabase [S] Persistent Observer
\Content\Tree\ProjectTreeNode.cs                                  [P] Workspace Root {D} ProjectInfo [S] Static
\Content\Tree\ContentFolderTreeNode.cs                            [P] Composite UI Node {D} ContentFolder, DragActors (F) UpdateFilter -> PerformLayout -> OnDragDrop [S] Volatile UI
\Content\Tree\ContentItemTreeNode.cs                              [P] Leaf UI Node {D} ContentItem, AssetPickerValidator (F) UpdateFilter -> Draw [S] Volatile UI
\SceneGraph\GUI\SceneTreeNode.cs                                  [P] Scene UI View {D} SceneNode (F) UpdateText (Edited star) [S] Volatile UI
\SceneGraph\GUI\ActorTreeNode.cs                                  [P] Tree Controller {D} ActorNode, DragHandlers (F) UpdateFilter -> OnDragDrop -> SortChildren [S] Volatile UI
\Windows\SceneTreeWindow.cs                                       [P] Outliner-View. {D} SceneRoot, DragHandlers. (F) OnInit -> TreeSelectedChanged -> UpdateFilter. [S] UpdatingSelectionFlag.
\Windows\SceneTreeWindow.ContextMenu.cs                           [P] Factory/Menu. {D} ActorContextMenu, Prefabs. (F) CreateContextMenu.
\Windows\SceneTreeWindow.RenameWindow.cs                          [P] Multi-Rename-Command. {D} Actor. (F) RenameActors -> RenameUndoAction.
\Windows\ToolboxWindow.cs                                         [P] Registry/Spawner-Palette. {D} ScriptType, DragData, Gizmos. (F) OnInit -> RefreshActorTabs -> OnSearchBoxTextChanged.
\Windows\Assets\AssetEditorWindow.cs                              [P] Abstract-Base/IEditable. {D} AssetItem. (F) OnScriptsReloadBegin -> Save -> UnlinkItem. [S] IsEditedFlag.
\Windows\Assets\PrefabWindow.cs                                   [P] Composite-Mediator. {D} LocalSceneGraph, PrefabWindowViewport. (F) Save (ApplyAll) -> OnPrefabApplied. [S] LiveReloadFlag.
\Windows\Assets\PrefabWindow.Hierarchy.cs                         [P] Hierarchy-Bridge. {D} DragHandlers, SceneGraphFactory. (F) Spawn -> ShowContextMenu.
\Windows\Assets\PrefabWindow.Selection.cs                         [P] Observer. {D} Tree. (F) OnTreeSelectedChanged -> OnSelectionChanges. [S] SelectionList.
\Windows\Assets\PrefabWindow.Actions.cs                           [P] Hierarchy-Commands. {D} ActorNode, Undo. (F) SetRoot/Cut/Copy/Paste/Duplicate.
\Windows\Assets\VisualScriptWindow.cs                             [P] Runtime-Logic-Editor. {D} VisualScriptSurface, VisualScriptingDebugFlow. (F) OnDebugBreakpointHit -> OnDebuggerStepOver. [S] BreakpointDataMap.
\Windows\Assets\MaterialWindow.cs                                 [P] Shader-Compiler-Host. {D} MaterialSurface, MaterialPreview. (F) ShowSourceCode -> SaveSurface. [S] MaterialInfo-Persistent.
\Windows\Assets\MaterialInstanceWindow.cs                         [P] Parameter-Proxy/Decorator. {D} MaterialInstance, MaterialPreview. (F) OnRevertAllParameters -> SetOverrides. [S] RestoreParamsCache.
\Windows\Assets\MaterialFunctionWindow.cs                         [P] Specialized-Visject. {D} MaterialFunctionSurface.
\Windows\Assets\AnimationWindow.cs                                [P] Sequence-Editor/ClonedAsset. {D} AnimationTimeline, AnimationPreview. (F) OnTimelineModified -> RefreshTempAsset -> SaveToOriginal.
\Windows\Assets\AnimationGraphWindow.cs                           [P] Graph-Editor/Simulation-Host. {D} AnimGraphSurface, AnimatedModelPreview. (F) OnDebugFlow -> HighlightConnections. [S] PropertiesProxy, DebugFlowCache.
\Windows\Assets\AnimationGraphFunctionWindow.cs                   [P] Specialized-Visject. {D} AnimationGraphFunction. (F) LoadSurface -> UpdateNavigationBar.
\Windows\Assets\ModelBaseWindow.cs                                [P] Multi-Tab-Host. {D} MeshDataCache. (F) OnAssetLoaded -> UpdateEffectsOnAsset. [S] TabsCollection.
\Windows\Assets\ModelWindow.cs                                    [P] Mesh-Processor. {D} Model, SDF, ModelPreview. (F) OnRebuildSDF -> UpdateEffects. [S] ModelSdfOptions.
\Windows\Assets\SkinnedModelWindow.cs                             [P] Mesh-Outliner/Retargeter. {D} SkinnedModelPreview, MeshDataCache. (F) OnCopySetup -> OnPasteSetup -> OnSave. [S] RetargetSetupsMap.
\Windows\Assets\ParticleSystemWindow.cs                           [P] Time-Sequence-Mediator. {D} ParticleSystemTimeline, ParticleSystemPreview. (F) OnTimelineModified -> Save. [S] EmitterParametersOverrides.
\Windows\Assets\ParticleEmitterWindow.cs                          [P] GPU-Shader-Host. {D} ParticleEmitterSurface, ParticleEmitterPreview. (F) ShowSourceCode -> SaveSurface.
\Windows\Assets\ParticleEmitterFunctionWindow.cs                  [P] Specialized-Visject. {D} ParticleEmitterFunctionSurface.
\Windows\Assets\SceneAnimationWindow.cs                           [P] Frame-Sequencer/Renderer. {D} SceneAnimationTimeline, VideoOutput. (F) StartRendering -> Tick -> OnPostRender. [S] StagingTextureBuffer.
\Windows\Assets\BehaviorTreeWindow.cs                             [P] Specialized-Visject. {D} BehaviorTreeSurface, Behavior. (F) OnNodeSelectionChanged -> UpdateKnowledge. [S] BlackboardCache.
\Windows\Assets\JsonAssetWindow.cs                                [P] Generic-JSON-Presenter. {D} JsonSerializer. (F) OnAssetLoaded -> SelectObjects. [S] RegisteredForScriptsReloadFlag.
\Windows\Assets\LocalizedStringTableWindow.cs                     [P] Translation-Editor. {D} LocalizedStringTable. (F) OnExport -> MarkAsEdited. [S] LocaleProxy.
\Windows\Assets\AudioClipWindow.cs                                [P] Signal-Visualizer. {D} AudioClipPreview, AudioSource. (F) OnPlay -> UpdateToolstrip. [S] AudioImportSettings.
\Windows\Assets\TextureWindow.cs                                  [P] Multi-Tab-Host. {D} Texture, TexturePreview. (F) OnLoad -> BuildLayout. [S] TextureGroupEditor.
\Windows\Assets\CubeTextureWindow.cs                              [P] Texture-Sandbox. {D} CubeTexturePreview, TextureTool. (F) OnLoad -> Reimport. [S] ImportSettings.
\Windows\Assets\SpriteAtlasWindow.cs                              [P] Rect-Editor. {D} SpriteAtlasPreview. (F) AddSprite -> SaveSprites. [S] SpriteEntryCollection.
\Windows\Assets\FontWindow.cs                                     [P] Raster-Sandbox. {D} FontAsset, FontOptions. (F) OnTextChanged -> OnPropertyEdited -> Save.
\Windows\Assets\CollisionDataWindow.cs                            [P] Processing-Sandbox. {D} ModelTool, MeshDataCache. (F) Cook -> UpdateWiresModel. [S] CookingOptions.
\Windows\Assets\SkeletonMaskWindow.cs                             [P] Tree-Filter/Editor. {D} AnimatedModelPreview. (F) BuildSkeletonNodeTree -> OnCheckChanged. [S] NodesMask-Volatile.
\Windows\Assets\GameplayGlobalsWindow.cs                          [P] KV-Store-Editor. {D} GameplayGlobals. (F) Add/RemoveParam -> OnUndo. [S] DefaultValuesMap.
\Windows\Assets\IESProfileWindow.cs                               [P] Specialized-Preview. {D} IESProfilePreview.
\Windows\Assets\VideoWindow.cs                                    [P] Media-Player. {D} VideoPlayer, VideoBrush. (F) PlayPause -> Seek.
\Windows\Assets\VisjectFunctionSurfaceWindow.cs                   [P] Abstract-Visject-Host. {D} VisjectSurface. (F) RefreshTempAsset -> Update. [S] TmpAssetIsDirtyFlag.
\Windows\Assets\PreviewsCacheWindow.cs                            [P] Utility-Viewer. {D} TexturePreview.
\Windows\Profiler\ProfilerWindow.cs                               [P] Profiler-Host/Mediator. {D} ProfilerMode. (F) OnUpdate -> UpdateModes. [S] LiveRecordingFlag, FrameIndex.
\Windows\Profiler\ProfilerMode.cs                                 [P] Abstract-Base/Tab. {D} SharedUpdateData. (F) Update -> UpdateView.
\Windows\Profiler\Overall.cs                                      [P] Metrics-Summary. {D} MainStats. (F) Update -> AddSample. [S] Fps/Mem/DrawCharts.
\Windows\Profiler\CPU.cs                                          [P] Flame-Graph-Visualizer. {D} ProfilingTools. (F) UpdateTimeline -> UpdateTable. [S] ThreadEventsBuffer.
\Windows\Profiler\GPU.cs                                          [P] GPU-Pipeline-Visualizer. {D} ProfilerGPU. (F) UpdateTimeline -> UpdateTable. [S] GpuEventsBuffer.
\Windows\Profiler\Memory.cs                                       [P] Alloc-Breakdown. {D} ProfilerMemory. (F) Update -> SortGroups. [S] MemoryGroupsBuffer.
\Windows\Profiler\MemoryGPU.cs                                    [P] VRAM-Tracker. {D} GPUDevice. (F) GetResources -> UpdateTable. [S] AssetPathToIdMap.
\Windows\Profiler\Network.cs                                      [P] Traffic-Monitor. {D} NetworkPeer. (F) UpdateStats -> UpdateTable. [S] NetworkEventsBuffer.
\Windows\Profiler\Physics.cs                                      [P] Sim-Stats-Tracker. {D} PhysicsStatistics. (F) Update -> AddSample. [S] ActiveBodiesCharts.
\Windows\Profiler\Assets.cs                                       [P] Resource-Tracker. {D} Content.GetAssets. (F) Update -> UpdateTable. [S] ResourceCache.
\Windows\Profiler\Timeline.cs                                     [P] Sequence-Layout. {D} Timeline.Event. (F) Draw -> MeasureText.
\Windows\Profiler\SamplesBuffer.cs                                [P] Ring-Buffer. (F) Add -> Get. [S] TypedDataArray.
\Windows\Profiler\SingleChart.cs                                  [P] Plot-Canvas. (F) Draw -> OnClick (SelectFrame). [S] FloatSamples.
\Windows\DebugLogWindow.cs                                        [P] Log-Aggregator. {D} Debug.Logger. (F) OnSendLog -> AddEntry -> UpdateIcon. [S] PendingEntriesQueue, LogCount.
\Windows\OutputLogWindow.cs                                       [P] Terminal/RichText-Aggregator. {D} DebugCommands. (F) ReadOutputLogs -> ParseTextBlocks -> ExecuteCommand. [S] CommandHistory.
\Windows\EditorOptionsWindow.cs                                   [P] Dynamic-Settings-Editor. {D} EditorOptions, CustomEditorPresenter. (F) GatherData -> MarkAsEdited -> SaveData. [S] ClonedOptionsState.
\Windows\GameCookerWindow.cs                                      [P] Deployment-Strategy/Build-Proxy. {D} GameCooker, BuildPlatform. (F) GatherData -> Build -> OnGameCookerEvent. [S] BuildPresets.
\Windows\PluginsWindow.cs                                         [P] Plugin-Manager/Downloader. {D} PluginManager, HttpClient. (F) OnPluginsChanged -> CloneButtonClicked -> AddModuleReferences. [S] CategoryMap.
\Windows\GraphicsQualityWindow.cs                                 [P] Runtime-Settings-Bridge. {D} Graphics, Streaming. (F) OnInit -> ApplyingSettings -> Save. [S] ProjectDefaults-Persistent.
\Windows\AssetReferencesGraphWindow.cs                            [P] Dependency-Crawler/Visualizer. {D} ContentDatabase, VisjectSurface. (F) Load -> SearchRefs -> BuildGraph -> Arrange. [S] Guid-Ref-Map.
\Windows\StyleEditorWindow.cs                                     [P] Theme-Sandbox. {D} Style, CustomEditorPresenter. (F) CreatePreview -> OnEdited -> OnOk.
\Windows\VisualScriptDebuggerWindow.cs                            [P] Debug-State-Viewer. {D} Simulation, VisualScriptWindow. (F) OnBreakpointHangBegin -> RefreshStack/Locals. [S] RootNode-Volatile.
\Windows\Search\ContentFinder.cs                                  [P] Search-Popup (Ctrl+P). {D} Editor.ContentFinding. (F) OnTextChanged -> BuildList. [S] MatchedItemsList.
\Windows\Search\ContentSearchWindow.cs                            [P] Deep-Asset-Crawler. {D} VisjectSurfaceContext, Task. (F) SearchAsync -> SearchInnerVisject. [S] PendingResultsQueue.
\Windows\Search\SearchItem.cs                                     [P] Search-Result-View. {D} ContentItem. (F) DrawThumbnail -> OnMouseUp (Open). [S] AssetProxyAccentColor.
\Windows\AboutDialog.cs                                           [P] Info-View. {D} Editor. [S] EngineVersion, Credits.
\CustomEditorWindow.cs                                            [P] Wrapper/Proxy {D} CustomEditorPresenter, EditorWindow (F) Ctor -> Win.Set -> BuildLayout [S] Volatile (Auto-restore on script reload)
\Options\Editor.cs                                                [P] View Wrapper {D} CustomEditor, LayoutElementsContainer (F) Initialize -> ResetValues [S] Volatile UI
\GUI\StyleValueEditor.cs                                          [P] Visual Editor {D} Style, StyleEditorWindow [S] Volatile
